OBJECTID,CaseObjectID,AppliedDate,Fee,IssuedDate,ParcelNo,PropertyAddress,Status,Valuation,WorkDescription,BuildingUseCode,PermitNumber,PermitType,PermitSubType
9451116,8125,2020/06/02 08:00:00+00,156.88,2020/06/25 08:00:00+00,570157023,1035 E WATER ST,CLOSED,0,Elevator Permit,,EL-20-0003,B-CONVERT,B-ELEVATOR
9451117,8124,2020/03/20 08:00:00+00,156.88,2020/06/01 08:00:00+00,570157021,1031 E WATER ST,CLOSED,0,Elevator Permit,,EL-20-0002,B-CONVERT,B-ELEVATOR
9451118,8123,2020/03/12 08:00:00+00,156.88,2020/03/20 08:00:00+00,570157020,1029 E WATER ST,CLOSED,0,Elevator Permit,,EL-20-0001,B-CONVERT,B-ELEVATOR
9451124,8117,2019/07/23 08:00:00+00,570.5,2020/02/25 10:00:00+00,320177000,499 W MAIN ST,CLOSED,0,Elevator Permit,,EL-19-0014,B-CONVERT,B-ELEVATOR
9451128,8113,2019/06/19 08:00:00+00,946.88,2019/07/04 08:00:00+00,320177000,499 W MAIN ST,CLOSED,0,Elevator Permit,,EL-19-0010,B-CONVERT,B-ELEVATOR
9451129,8112,2019/06/19 08:00:00+00,156.88,2019/07/17 08:00:00+00,570157002,1049 E WATER ST,CLOSED,0,Elevator Permit,,EL-19-0009,B-CONVERT,B-ELEVATOR
9451130,8111,2019/06/19 08:00:00+00,579.68,2019/07/09 08:00:00+00,290007000,600 W MAIN ST,CLOSED,0,Elevator Permit,,EL-19-0008,B-CONVERT,B-ELEVATOR
9451133,8108,2019/03/11 08:00:00+00,173.2,2019/05/28 08:00:00+00,570157003,1051 E WATER ST,CLOSED,0,Elevator Permit,,EL-19-0005,B-CONVERT,B-ELEVATOR
9451135,8106,2019/02/12 10:00:00+00,156.88,2019/03/05 10:00:00+00,570157004,1053 E WATER ST,CLOSED,0,Elevator Permit,,EL-19-0003,B-CONVERT,B-ELEVATOR
9451136,8105,2019/02/06 10:00:00+00,546.02,2019/02/12 10:00:00+00,330155300,255 W MAIN ST,EXPIRED,0,Elevator Permit,,EL-19-0002,B-CONVERT,B-ELEVATOR
9451138,8103,2018/12/14 10:00:00+00,156.88,2019/01/24 10:00:00+00,570157005,1055 E WATER ST,CLOSED,0,Elevator Permit,,EL-18-0017,B-CONVERT,B-ELEVATOR
9451141,8100,2018/10/18 08:00:00+00,152.8,2018/11/09 10:00:00+00,570157007,1059 E WATER ST,CLOSED,0,Elevator Permit,,EL-18-0014,B-CONVERT,B-ELEVATOR
9451142,8099,2018/10/18 08:00:00+00,152.8,2018/11/21 10:00:00+00,570157006,1057 E WATER ST,CLOSED,0,Elevator Permit,,EL-18-0013,B-CONVERT,B-ELEVATOR
9451147,8094,2018/04/16 08:00:00+00,148.72,2018/04/25 08:00:00+00,570157008,1061 E WATER ST,CLOSED,0,Elevator Permit,,EL-18-0008,B-CONVERT,B-ELEVATOR
9451148,8093,2018/04/16 08:00:00+00,148.72,2018/05/14 08:00:00+00,570157017,1085 E WATER ST,CLOSED,0,Elevator Permit,,EL-18-0007,B-CONVERT,B-ELEVATOR
9451151,8090,2018/03/13 08:00:00+00,132.4,2018/07/25 08:00:00+00,530162300,550 E WATER ST,CLOSED,0,Elevator Permit,,EL-18-0004,B-CONVERT,B-ELEVATOR
9451152,8089,2018/02/23 10:00:00+00,148.72,2018/03/05 10:00:00+00,570157019,1089 E WATER ST,CLOSED,0,Elevator Permit,,EL-18-0003,B-CONVERT,B-ELEVATOR
9451153,8088,2018/02/15 10:00:00+00,1050.62,2018/03/26 08:00:00+00,310170000,853 W MAIN ST,CLOSED,0,Elevator Permit,,EL-18-0002,B-CONVERT,B-ELEVATOR
9451154,8087,2018/02/08 10:00:00+00,193.6,2018/02/14 10:00:00+00,570157010,1065 E WATER ST,CLOSED,0,Elevator Permit,,EL-18-0001,B-CONVERT,B-ELEVATOR
9451155,8086,2017/12/15 10:00:00+00,148.72,,570157016,1083 E WATER ST,CLOSED,0,Elevator Permit,,EL-17-0016,B-CONVERT,B-ELEVATOR
9451156,8085,2017/11/30 10:00:00+00,152.8,2018/04/11 08:00:00+00,570157018,1087 E WATER ST,CLOSED,0,Elevator Permit,,EL-17-0015,B-CONVERT,B-ELEVATOR
